,SL32229,SL32232,SL32242,SL32243,SL32244,SL32249,SL32257,SL32259,SL5885,SL5886,SL5887,SL5999,SL6000,SL6128,SL6129,SL6131,SL6340,SL6342,SL6411,SL6412,SL6413,SL6609,SL6611,SL6642,SL6643,SL6644,SL7141,SL7142,SL7152,SL7153,SL7381,SL7382,SL7383,SL7393,SL7395,SL7614,SL7616,SL7617,SL7618,SL7625,SL7632,SL7697,SL7701,SL7804,SL7807,SL7847,SL8435
ENSG00000002079,0.0507981794145481,0.0521903850224427,0.041701541150169,0.0842149003386367,0.0811310978196201,0.0745986813401556,0.0826732619834615,0.0554471082295039,0.0331032529288636,0.0654967034470923,0.0406599604782814,0.107035705380668,0.10292868541365,0.0567444138351634,0.12886109117725,0.13095347322046,0.118095736508704,0.111642979620625,0.137312863863779,0.0332404360053934,0.0731848568793938,0.0865484934500673,0.107750561079011,0.10347627691839,0.0594326496827942,0.163814678611413,0.0640193236546958,0.0270718645748132,0.0192838674823663,0.108484558502476,0.0755967690896395,0.0506358925832363,0.0476777755818613,0.116520450796436,0.0835646583816552,0.0679322445804091,0.281224459022986,0.0779373416748224,0.121257957941488,0.0896617056316389,0.0859202533922171,0.161141840602458,0.0413012129170236,0.13672720362024,0.209330208168107,0.112699557081423,0.0348893806022521
ENSG00000002330,6.36563266316329,5.12983038937378,6.6779256112352,6.51561599987402,5.44176863490124,6.71725208345731,6.65020718374916,7.00438516395239,3.19783625307423,2.55517672177406,2.49266030545689,2.18727589279945,3.18689226012403,2.71972520348567,3.24263147240295,3.33774641899958,3.36397687535859,2.15698419970547,3.00737682167227,8.85107698700208,2.36954643753384,3.0120125640318,3.13371575462088,3.33825214747502,3.60671743744411,3.24197336749217,3.28474746555935,4.01080055450622,7.10342452257518,4.73606870434214,4.1316030080294,2.89370262935289,3.78256056188265,3.70504699250503,3.77544735164766,3.96955280873742,3.46115603406297,2.84004108310322,3.01717697896471,4.49280965227628,3.83079574726236,3.09336355721693,3.59916724878803,3.00569034086441,3.53803329476139,5.09455224574805,1.58436644699506
ENSG00000002549,6.88321614497509,4.74904550165475,5.39064419252702,6.4202759590546,4.5389687582276,6.95261565057849,8.69787150972977,5.56936670770507,5.32814566349024,5.83838941188921,6.95346555823189,5.89968223939644,4.57726978376683,6.22207220157087,4.85132373481144,4.25066186178712,5.49784066979804,6.20510500884887,6.94904670019629,11.2577672369421,5.71445703614502,6.21065586467124,5.70002578650551,4.58691195285193,4.11131453304106,6.45158229848594,7.13528606109491,5.21408224345547,5.19154464995057,4.11519763852262,6.10429526814487,5.21510515052967,4.9326095092202,5.91078525244197,4.60108201253238,6.06757396725984,7.10942723070621,5.54347300483762,6.17918826388032,5.17617420355955,5.07555415169132,4.82452406332891,3.8211404055016,5.13400565134904,3.74364632612186,2.96028139975513,4.58869967905873
ENSG00000002586,9.32542582936924,2.72302221392064,6.0679780464265,8.93138027142664,2.82199849017648,6.66502364732244,16.183462220285,7.30540669965463,3.34236508869464,2.46803305769407,5.73570401073315,2.99911830146557,3.3149890257563,4.61638614900535,2.43351766403676,2.65201040386046,4.45766574011532,2.45942276944774,4.8529895080236,9.29962716125203,2.28969570496571,4.72749446853572,2.85760063549233,3.00911663127188,1.99069213704067,4.81939453534233,7.33428965476641,4.58398427477265,3.81158878105346,4.15340350215777,3.59081831403337,2.59998171332776,3.11082711266014,2.80145984550526,1.87317153966011,4.71386666820878,3.60027680035296,1.25698152286433,3.47927943137871,2.22431249276369,1.3448612719302,4.41136420216056,2.85140948921417,2.53202765758259,1.82425894555901,3.20318920525357,0.839007208073213
ENSG00000002587,1.60777091778545,1.36055115063616,1.72730888334646,1.42440153789115,1.60277136449385,1.67438148712922,1.04080838021824,1.23783851255227,1.01615149423456,1.21309530269329,0.892639491154011,1.59601790968755,0.906535426548727,1.15976381584693,1.19258984574643,1.36164478512652,1.53876266868222,1.06281628352167,0.921068997183731,1.09068286687738,1.3324708842953,1.71510370506616,1.27047145298529,1.23759056303504,1.40270347605405,0.766424611225407,1.37170601426037,1.65412954751745,0.982651397375551,1.42793331525203,1.24508099078932,1.43910037838606,1.57142269330824,1.36458124705589,1.19489888886305,1.33659296544293,0.870771063565328,1.68189984425951,0.965169751781884,1.54045589312838,1.37547740844433,0.921315125500412,2.11543078228228,1.70670619323053,1.45451185083985,0.824726783655548,1.29541791166372
ENSG00000002726,0,0,0.00692044927141664,0.00822095369106862,0.00708624128445426,0,0.00685989174355448,0,0,0,0,0,0.0162678182315955,0,0.0194406733694092,0.0260783705352627,0.0195982098296087,0.0185273626744897,0.017989996023994,0,0.0404838826496368,0.0239381424090885,0.030830014635668,0.0125649387690855,0,0.0055480315006619,0,0.00561578362290026,0.00914341176353081,0.00562600523222339,0.00404691166691568,0,0.00465424507510601,0,0.0277354247955012,0.0051243108609176,0.0145842901490575,0,0.00609787467586441,0.0201074714441642,0.00475287594165803,0.0127341865967224,0,0.00945422369872341,0.0340575903743848,0,0
ENSG00000002745,0.368458507127027,0.563218510342553,0.446338206306148,0.616977406481867,0.639843475536642,0.63192162548591,0.47460942521122,0.333514255527604,0.386519306507025,0.509833891536643,0.296720456756179,0.67695734609739,0.486448172768886,0.894452746581837,0.353354060702736,0.280323157056958,0.497938366068438,0.586603232571517,0.400822186789117,0.567806764943537,0.434041420429382,0.645632475058005,0.701362506518187,0.525520889938587,0.518317614243852,0.240717534794741,0.492401251686658,0.441217016392527,0.26268873391649,0.422228155937879,0.635909932141756,0.717926319314588,0.474827195813207,0.358584804855726,0.507372010095293,0.324486260513965,0.239431020367967,0.361670593690494,0.200218226707806,0.334821154675029,0.378994123539166,0.246389523921127,0.153440033469936,0.570952774710762,0.255600074758217,0.456909555631396,0.905276538083989
ENSG00000002746,7.28398770189207,10.827636108426,8.78147081964911,5.20459541902345,9.85726862101724,9.19467703611515,4.12126773390698,8.31022192842521,7.03628782339723,8.17989963055357,6.73016389361561,9.67619159657369,7.67077778533071,9.4247453166738,6.31353999771143,6.95530777047952,7.7134886388085,8.15279314226057,7.89498329103667,4.11196504659311,9.15036879937881,7.79773272742377,7.86804050132848,8.18180586311449,9.30358009320683,3.33465098793239,6.81994308633563,7.67493806377997,6.89273264053285,6.37327408959456,8.94170595338848,8.62438658338621,7.208345463209,5.46364227879718,8.37697612982817,7.08043039301277,3.68806986229511,8.0558744382039,4.23118533298396,8.19289398883609,8.37754812438205,4.48249933628438,2.71455989323795,9.54758931982892,9.71945537498139,5.60997184123575,9.47041777465067
ENSG00000002822,4.41818331139881,3.25661440188097,4.03362453821781,4.48726259694538,4.27642802108856,4.53336265405993,4.32487045983458,5.11453106049344,3.07991200099256,3.31517196187265,3.00675908709452,2.49551045294719,3.39004231611932,3.21251082126799,3.19779985809088,3.3953870111791,2.91274395340899,2.37142042017624,2.58491941025998,4.95346760301623,2.07698556341141,2.80569067447217,2.85358862990166,2.90416575349289,3.02369123507082,2.71138054656746,3.4143200765106,3.97416656929082,4.70060901789724,4.31467134324098,2.92598318436077,2.88044157589086,3.58172161248739,3.17761977254845,2.74025690086885,3.48542725387877,2.97364598780268,2.80473100705468,2.79625760489049,3.12455978171089,2.86828108750031,2.57621577472945,3.28239792760903,2.93273942048798,3.1631370973573,2.39880929308973,1.14327787191387
ENSG00000002834,22.4702327110686,24.5913076617195,25.7292130527411,23.3205811045061,27.0517346337895,23.8048427322576,20.0688974649139,20.2002872166979,30.1528440544168,25.4000223130533,23.040181680719,20.2435029583809,24.1793275414829,21.7202395382107,19.1775070582151,19.7371272164375,19.8759801989408,20.0475247790346,21.9537230240897,15.9562995439947,19.725973515577,21.6552199771224,19.1408658898645,23.458234715175,23.763505608705,14.5754464093378,20.0830476096067,21.9552850456725,25.5659582483868,22.6015712861506,20.0274912587653,21.9350871588459,21.0166170440672,17.9658322512577,21.7317647018776,18.2743912705283,14.7659854947355,21.0163055922781,14.4182946993864,21.2585403201542,18.4323973686514,14.8445159817983,12.6778372477896,20.9283655212103,22.2624450204105,16.2777533180718,12.8247947605826
